Ga0209230,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0314668,CryptCCR,1
Ga0314668,StramhfCCR|mgCCR1|Marine_A=mgCCR3,1
Ga0314675,CryptCCR,2
Ga0314675,StramhfCCR|mgCCR1|Marine_B,1
Ga0314676,CryptCCR,3
Ga0314676,StramhfCCR|mgCCR1|Marine_A=mgCCR3,1
Ga0314682,CryptCCR,2
Ga0314682,StramhfCCR|mgCCR1|Marine_B,1
Ga0314683,CryptCCR,1
Ga0314683,StramhfCCR|mgCCR1|Marine_A=mgCCR3,1
Ga0314690,CryptCCR,1
Ga0314690,StramhfCCR|mgCCR1|Marine_A=mgCCR3,1
Ga0314692,CryptCCR,2
Ga0314692,StramhfCCR|mgCCR1|Marine_A=mgCCR3,1
Ga0314693,CryptCCR,2
Ga0314693,StramhfCCR|mgCCR1|Marine_A=mgCCR3,1
Ga0314700,CryptCCR,1
Ga0314700,StramhfCCR|mgCCR1|Marine_A=mgCCR3,1
Ga0314705,CryptCCR,3
Ga0314705,StramhfCCR|mgCCR1|Marine_A=mgCCR3,1
Ga0314709,CryptCCR,1
Ga0314709,StramhfCCR|mgCCR1|Marine_B,1
Ga0314710,CryptCCR,2
Ga0314710,StramhfCCR|mgCCR1|Marine_A=mgCCR3,1
Ga0315908,CryptCCR,11
Ga0315908,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,4
Ga0315908,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,7
Ga0315908,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,2
Ga0315908,StramhfCCR|mgCCR1|Freshwater_D,3
Ga0334989,CryptCCR,2
Ga0334989,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,1
Ga0334989,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,7
Ga0334989,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0334989,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0334990,CryptCCR,3
Ga0334990,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,2
Ga0334990,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,5
Ga0334990,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,2
Ga0334990,StramhfCCR|mgCCR1|Freshwater_D,3
Ga0335003,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,5
Ga0335003,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0335003,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0335023,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,1
Ga0335023,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,5
Ga0335023,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0335024,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,1
Ga0335024,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,1
Ga0335024,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0335024,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0335037,CryptCCR,1
Ga0335037,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,2
Ga0335037,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,7
Ga0335037,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0335037,StramhfCCR|mgCCR1|Freshwater_D,3
Ga0335041,CryptCCR,5
Ga0335041,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,3
Ga0335041,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,12
Ga0335041,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0335041,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0335046,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,3
Ga0335046,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,7
Ga0335046,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,2
Ga0335046,StramhfCCR|mgCCR1|Freshwater_D,5
Ga0335058,CryptCCR,4
Ga0335058,mgR2-like,1
Ga0335058,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,3
Ga0335058,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,6
Ga0335058,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0335058,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0335061,CryptCCR,4
Ga0335061,mgR2-like,1
Ga0335061,StramhfCCR,1
Ga0335061,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,1
Ga0335061,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,9
Ga0335061,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0335061,StramhfCCR|mgCCR1|Freshwater_D,3
Ga0335064,CryptCCR,8
Ga0335064,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,3
Ga0335064,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0335064,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0415385,CryptCCR,6
Ga0415385,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,3
Ga0415385,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,3
Ga0415385,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0415385,StramhfCCR|mgCCR1|Freshwater_D,1
Ga0453162,CryptCCR,1
Ga0453162,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,2
Ga0453162,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,5
Ga0453162,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0453162,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0453200,CryptCCR,7
Ga0453200,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0453232,CryptCCR,1
Ga0453232,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,2
Ga0453232,StramhfCCR|mgCCR1|Freshwater_B=HulaCCR,3
Ga0453232,StramhfCCR|mgCCR1|Freshwater_C=mgCCR2,1
Ga0453232,StramhfCCR|mgCCR1|Freshwater_D,2
Ga0453666,CryptCCR,2
Ga0453666,StramhfCCR|mgCCR1|Freshwater_A=mgCCR1,1
